Upminster Bridge,940GZZLUUPB,
Upton Park,940GZZLUUPK,
Upney,940GZZLUUPY,
Uxbridge,940GZZLUUXB,
Watford,940GZZLUWAF,
White City,940GZZLUWCY,
West Finchley,940GZZLUWFN,
West Hampstead,940GZZLUWHP,
West Harrow,940GZZLUWHW,
Willesden Green,940GZZLUWIG,
Wimbledon Park,940GZZLUWIP,
Warwick Avenue,940GZZLUWKA,
West Kensington,940GZZLUWKN,
Wood Lane,940GZZLUWLA,
Woodford,940GZZLUWOF,
Wood Green,940GZZLUWOG,
Woodside Park,940GZZLUWOP,
Warren Street,940GZZLUWRR,
Wanstead,940GZZLUWSD,
Westbourne Park,940GZZLUWSP,
West Acton,940GZZLUWTA,
Wembley Park,940GZZLUWYP,
Amersham,940GZZLUAMS,
Balham,940GZZLUBLM,
Bank,940GZZLUBNK,
Beckenham Junction,940GZZCRBEK,
Blackfriars,940GZZLUBKF,
Blackhorse Road,940GZZLUBLR,
Birkbeck,940GZZCRBIR,
Barking,940GZZLUBKG,
Brixton,940GZZLUBXN,
Bushey,910GBUSHYDC,
Canning Town,940GZZLUCGT,
Canary Wharf,940GZZLUCYF,
Chalfont & Latimer,940GZZLUCAL,
Charing Cross,940GZZLUCHX,
Clapham Junction,910GCLPHMJC,
Chorleywood,940GZZLUCYD,
Cannon Street,940GZZLUCST,
Cutty Sark for Maritime Greenwich,940GZZDLCUT,
Crystal Palace,910GCRYSTLP,
Ealing Broadway,940GZZLUEBY,
East Croydon,940GZZCRECR,
Elmers End,940GZZCRELM,
Elephant & Castle,940GZZLUEAC,
Euston,940GZZLUEUS,
Finsbury Park,940GZZLUFPK,
Greenford,940GZZLUGFD,
Greenwich,940GZZDLGRE,
Gunnersbury,940GZZLUGBY,
Heathrow Terminals 2 & 3,940GZZLUHRC,
Harlesden,940GZZLUHSN,
Highbury & Islington,940GZZLUHAI,
Hammersmith,940GZZLUHSD,940GZZLUHSC
Harrow-on-the-Hill,940GZZLUHOH,
Harrow & Wealdstone,940GZZLUHAW,
Heathrow Terminal 4,940GZZLUHR4,
Heathrow Terminal 5,940GZZLUHR5,
Imperial Wharf,910GCSEAH,
King's Cross St Pancras,940GZZLUKSX,
Kensal Green,940GZZLUKSL,
Kenton,940GZZLUKEN,
Kensington (Olympia),940GZZLUKOY,
Kentish Town,940GZZLUKSH,
Kew Gardens,940GZZLUKWG,
London Bridge,940GZZLULNB,
London City Airport,940GZZDLLCA,
Lewisham,940GZZDLLEW,
Limehouse,940GZZDLLIM,
Liverpool Street,940GZZLULVT,
Mitcham Junction,940GZZCRMJT,
Marylebone,940GZZLUMYB,
North Wembley,940GZZLUNWY,
Norwood Junction,910GNORWDJ,
New Cross,910GNWCRELL,
New Cross Gate,910GNEWXGTE,
Old Street,940GZZLUODS,
Paddington,940GZZLUPAH,940GZZLUPAC
Queen's Park,940GZZLUQPS,
Rickmansworth,940GZZLURKW,
Richmond,940GZZLURMD,
Stonebridge Park,940GZZLUSGP,
